"X","X.x","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP","X.y","Ave_Incom_Onw_Rent","Houhold_Mon_Inco","X.x.x","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household","X.y.y","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family","X.x.x.x","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021.","X.y.y.y","Estimated_Monthly_Shelter_Cost","X.x.x.x.x","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known","X.y.y.y.y","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure","Affordability_Ratio","Pct_0_14","Pct_15_24","Pct_25_34","Pct_35_44","Pct_45_54","Pct_55_64","Pct_65_Plus","Total_Households","Share_One_Person","Share_Two_Person","Share_Three_Person","Share_Four_Person","Share_FivePlus_Person","Total_Household_Type","Share_Couple_With_Children","Share_Couple_Without_Children","Share_Lone_Parent","Share_Multiple_Family","Share_One_Person_Household","Share_Other_Non_Family","Share_Immigrant","Share_Pre2006","Share_2006_2015","Share_Recent_Immigrant","Apartment_Share","Detached_Share","Missing_Middle_Share"
21,21,"Hawkesbury",1485,1025,1125,1130,1430,2020,3425,11640,21,36400,3033.33333333333,21,1252.5,1087.5,352.5,190,105,21,412.5,822.5,372.5,17.5,1252.5,107.5,21,2832.5,7.5,152.5,102.5,30,15,21,901.365757558822,21,1645,1445,3085,21,1122.5,362.5,157.5,457.5,862.5,0,27.5,2992.5,0.297153546447963,12.7577319587629,8.80584192439863,9.66494845360825,9.70790378006873,12.2852233676976,17.3539518900344,29.4243986254296,2987.5,0.419246861924686,0.364016736401674,0.117991631799163,0.0635983263598326,0.0351464435146444,2985,0.138190954773869,0.275544388609715,0.124790619765494,0.00586264656616415,0.419597989949749,0.0360134003350084,0.0131013745704467,0.672131147540984,0.19672131147541,0.0983606557377049,0.288220551378446,0.375104427736007,0.326649958228906
22,22,"Huntsville T",2860,1960,2305,2330,2520,3800,4955,20730,22,43600,3633.33333333333,22,1167.5,1792.5,630,530,287.5,22,1062.5,1520,385,100,1167.5,170,22,3962.5,15,427.5,370,47.5,10,22,1211.129979277,22,3915,3160,7070,22,3522.5,55,72.5,152.5,502.5,40,57.5,4410,0.333338526406514,13.7964302942595,9.45489628557646,11.119150988905,11.2397491558128,12.1562952243126,18.3309213699952,23.9025566811384,4407.5,0.264889393079977,0.406693136698809,0.142938173567782,0.120249574588769,0.0652297220646625,4405,0.241203178206583,0.345062429057889,0.0874006810442679,0.0227014755959137,0.265039727582293,0.0385925085130533,0.0206222865412446,0.865497076023392,0.111111111111111,0.0233918128654971,0.123015873015873,0.79875283446712,0.0634920634920635
23,23,"Ingersoll",2500,1530,1730,1780,1760,2025,2220,13545,23,48000,4000,23,687.5,992.5,442.5,385,227.5,23,815,805,307.5,45,687.5,80,23,2445,5,282.5,242.5,25,15,23,1257.69017990241,23,2750,1420,4170,23,1947.5,207.5,185,45,312.5,32.5,5,2732.5,0.314422544975602,18.4569952011812,11.2956810631229,12.7722406792174,13.141380583241,12.9937246216316,14.9501661129568,16.3898117386489,2735,0.251371115173675,0.362888482632541,0.161791590493601,0.140767824497258,0.083180987202925,2740,0.297445255474453,0.293795620437956,0.112226277372263,0.0164233576642336,0.250912408759124,0.0291970802919708,0.0208564045773348,0.858407079646018,0.0884955752212389,0.0530973451327434,0.126258005489478,0.712717291857274,0.160109789569991
24,24,"Kawartha Lakes",10530,6950,8040,7905,8585,13965,21260,77230,24,42400,3533.33333333333,24,4195,6857.5,2290,1877.5,1137.5,24,3882.5,5940,1427.5,407.5,4195,507.5,24,14675,27.5,1647.5,1540,95,12.5,24,1197.54869174358,24,14230,12070,26305,24,13700,267.5,327.5,437.5,1112.5,362.5,150,16352.5,0.338928875021768,13.6345979541629,8.99909361647028,10.4104622556002,10.2356597177263,11.1161465751651,18.0823514178428,27.5281626311019,16357.5,0.256457282592083,0.419226654439859,0.139996943298181,0.114779153293596,0.06953996637628,16360,0.23731662591687,0.363080684596577,0.0872555012224939,0.0249083129584352,0.256418092909535,0.031020782396088,0.0213323837886832,0.934749620637329,0.0576631259484067,0.00758725341426404,0.0902002751872802,0.837792386485247,0.0631401926310962
25,25,"Kenora",2290,1455,1980,1675,1855,2340,3015,14610,25,48000,4000,25,1065,1167.5,452.5,380,185,25,737.5,952.5,337.5,50,1065,112.5,25,3055,15,182.5,145,25,10,25,1188.09426353769,25,2875,1910,4780,25,2507.5,87.5,45,120,357.5,85,50,3255,0.297023565884423,15.6741957563313,9.95893223819302,13.5523613963039,11.4647501711157,12.6967830253251,16.0164271047228,20.6365503080082,3250,0.327692307692308,0.359230769230769,0.139230769230769,0.116923076923077,0.0569230769230769,3255,0.226574500768049,0.292626728110599,0.1036866359447,0.0153609831029186,0.327188940092166,0.0345622119815668,0.0124914442162902,0.794520547945205,0.136986301369863,0.0547945205479452,0.135944700460829,0.770353302611367,0.0775729646697389
26,26,"Kincardine MU",2145,1080,1365,1590,1210,1930,2740,12060,26,47600,3966.66666666667,26,757.5,997.5,315,327.5,185,26,677.5,865,192.5,35,757.5,50,26,2235,15,327.5,277.5,35,12.5,26,1283.61938219636,26,1975,1965,3940,26,2067.5,70,180,25,207.5,0,22.5,2580,0.323601524923452,17.7860696517413,8.95522388059701,11.318407960199,13.18407960199,10.0331674958541,16.0033167495854,22.7197346600332,2582.5,0.293320425943853,0.386253630203291,0.121974830590513,0.126815101645692,0.0716360116166505,2577.5,0.262851600387973,0.335596508244423,0.0746847720659554,0.0135790494665373,0.293889427740058,0.0193986420950533,0.0271558872305141,0.847328244274809,0.106870229007634,0.0381679389312977,0.0804263565891473,0.801356589147287,0.106589147286822
27,27,"Kingston",24810,20770,23105,20375,19660,24405,34945,168075,27,48800,4066.66666666667,27,11092.5,13835,5232.5,4405,2192.5,27,8612.5,10800,3590,502.5,11092.5,2157.5,27,30892.5,690,5170,4062.5,687.5,417.5,27,1347.60308052285,27,26585,19245,45825,27,20827.5,2362.5,2315,1122.5,4977.5,4932.5,215,36752.5,0.331377806685947,14.7612672913878,12.3575784619961,13.7468392086866,12.1225643313997,11.697159006396,14.5203034359661,20.7913134017552,36757.5,0.301775147928994,0.376385771611236,0.142351900972591,0.119839488539754,0.0596476909474257,36755,0.234321860971296,0.293837573119303,0.0976737858794722,0.0136716093048565,0.301795674057951,0.0586994966671201,0.0307600773464227,0.7857833655706,0.132978723404255,0.0807543520309478,0.269641520984967,0.566696143119516,0.157812393714713
28,28,"Kitchener - Cambridge - Waterloo",98465,75790,87920,77850,72400,71015,84620,568065,28,54400,4533.33333333333,28,27165,36085,17847.5,17580,10857.5,28,34510,28040,11315,2570,27165,5930,28,72702.5,3727.5,33095,22927.5,5897.5,4275,28,1449.64065214197,28,88870,52210,141085,28,58025,6545,12822.5,3017.5,14517.5,14322.5,272.5,109527.5,0.319773673266611,17.3334037478106,13.3417830705993,15.4771020921902,13.7044176282644,12.7450203761893,12.5012102488272,14.8961826551539,109535,0.248002921440635,0.329438079152782,0.162938786689186,0.16049664490802,0.099123567809376,109530,0.315073495845887,0.256002921573998,0.103305030585228,0.0234638911713686,0.24801424267324,0.0541404181502785,0.0582591780870147,0.692778365311981,0.178199123734703,0.129173591176915,0.263312866631668,0.529775627125608,0.204377895962201
29,29,"Lambton Shores MU",1450,960,945,965,1195,2315,3710,11545,29,40800,3400,29,757.5,1237.5,277.5,230,150,29,500,1122.5,182.5,30,757.5,62.5,29,2350,0,300,282.5,10,0,29,992.238145258103,29,1865,2305,4165,29,2225,22.5,90,20,225,0,62.5,2652.5,0.291834748605324,12.5595495885665,8.3152880034647,8.18536162841057,8.35859679514942,10.3508012126462,20.0519705500217,32.1351234300563,2652.5,0.285579641847314,0.466540999057493,0.104618284637135,0.0867106503298775,0.056550424128181,2655,0.188323917137476,0.422787193973635,0.0687382297551789,0.0112994350282486,0.285310734463277,0.0235404896421846,0.0259852750108272,0.941666666666667,0.0333333333333333,0,0.0848256361922714,0.838831291234684,0.0499528746465598
30,30,"London",89595,67705,76950,69220,65015,72465,94820,535780,30,47200,3933.33333333333,30,32635,38205,16445,14755,9082.5,30,29942.5,28955,12120,1655,32635,5810,30,80862.5,3280,26977.5,19167.5,4725,3080,30,1282.73215210184,30,83215,54635,137850,30,61120,4162.5,12500,2497.5,11235,19175,430,111120,0.326118343754705,16.722348725223,12.6367165627683,14.3622382321102,12.9194818768898,12.1346448169025,13.5251409160476,17.6975624323416,111122.5,0.293684897298027,0.343809759499651,0.147989831042318,0.132781389907534,0.0817341222524691,111117.5,0.269467005647175,0.260580016649043,0.109073728260625,0.0148941435867438,0.293698112358539,0.0522869934978739,0.0503518235096495,0.710499490316004,0.175145954962469,0.114169215086646,0.273668106551476,0.55003599712023,0.172426205903528
31,31,"Meaford MU",1515,870,1025,1135,1195,2030,3540,11315,31,42000,3500,31,702.5,1107.5,310,270,127.5,31,550,1007.5,165,40,702.5,52.5,31,2200,0,317.5,290,20,5,31,1123.77792825571,31,1855,2010,3865,31,2047.5,17.5,165,32.5,252.5,0,0,2517.5,0.32107940807306,13.3893062306673,7.68890852850199,9.05877154220062,10.0309323906319,10.5612019443217,17.9407865665046,31.2859036676977,2517.5,0.279046673286991,0.439920556107249,0.123138033763654,0.107249255213505,0.0506454816285998,2517.5,0.218470705064548,0.400198609731877,0.0655412115193644,0.015888778550149,0.279046673286991,0.0208540218470705,0.0280600972160848,0.913385826771654,0.062992125984252,0.015748031496063,0.100297914597815,0.81330685203575,0.0854021847070506
