"","X.x","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP","X.y","Ave_Incom_Onw_Rent","Houhold_Mon_Inco","X.x.x","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household","X.y.y","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family","X.x.x.x","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021.","X.y.y.y","Estimated_Monthly_Shelter_Cost","X.x.x.x.x","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known","X.y.y.y.y","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure","Affordability_Ratio"
"27",27,"Kingston",24810,20770,23105,20375,19660,24405,34945,168075,27,48800,4066.66666666667,27,11092.5,13835,5232.5,4405,2192.5,27,8612.5,10800,3590,502.5,11092.5,2157.5,27,30892.5,690,5170,4062.5,687.5,417.5,27,1347.60308052285,27,26585,19245,45825,27,20827.5,2362.5,2315,1122.5,4977.5,4932.5,215,36752.5,0.331377806685947
"28",28,"Kitchener - Cambridge - Waterloo",98465,75790,87920,77850,72400,71015,84620,568065,28,54400,4533.33333333333,28,27165,36085,17847.5,17580,10857.5,28,34510,28040,11315,2570,27165,5930,28,72702.5,3727.5,33095,22927.5,5897.5,4275,28,1449.64065214197,28,88870,52210,141085,28,58025,6545,12822.5,3017.5,14517.5,14322.5,272.5,109527.5,0.319773673266611
"29",29,"Lambton Shores MU",1450,960,945,965,1195,2315,3710,11545,29,40800,3400,29,757.5,1237.5,277.5,230,150,29,500,1122.5,182.5,30,757.5,62.5,29,2350,0,300,282.5,10,0,29,992.238145258103,29,1865,2305,4165,29,2225,22.5,90,20,225,0,62.5,2652.5,0.291834748605324
"30",30,"London",89595,67705,76950,69220,65015,72465,94820,535780,30,47200,3933.33333333333,30,32635,38205,16445,14755,9082.5,30,29942.5,28955,12120,1655,32635,5810,30,80862.5,3280,26977.5,19167.5,4725,3080,30,1282.73215210184,30,83215,54635,137850,30,61120,4162.5,12500,2497.5,11235,19175,430,111120,0.326118343754705
"31",31,"Meaford MU",1515,870,1025,1135,1195,2030,3540,11315,31,42000,3500,31,702.5,1107.5,310,270,127.5,31,550,1007.5,165,40,702.5,52.5,31,2200,0,317.5,290,20,5,31,1123.77792825571,31,1855,2010,3865,31,2047.5,17.5,165,32.5,252.5,0,0,2517.5,0.32107940807306
"32",32,"Midland",3480,2390,3045,2715,3000,4610,7120,26365,32,40800,3400,32,1815,2307.5,860,632.5,297.5,32,1210,1805,697.5,132.5,1815,250,32,5317.5,10,585,515,55,15,32,1158.24699922032,32,4435,3730,8165,32,3902.5,222.5,277.5,382.5,812.5,265,50,5912.5,0.340660882123624
"33",33,"Norfolk",10245,6560,6985,6995,7505,11190,16750,66225,33,45600,3800,33,3687.5,5580,1825,1637.5,1065,33,3510,4755,1200,277.5,3687.5,370,33,11895,45,1857.5,1660,155,45,33,1103.02607275149,33,11420,10440,21860,33,11405,400,485,270,942.5,195,102.5,13797.5,0.290270019145129
"34",34,"North Bay",10380,7705,8520,8325,8475,11680,15090,70175,34,42400,3533.33333333333,34,4787.5,6002.5,2180,1770,855,34,3445,4737.5,1680,212.5,4787.5,730,34,14650,92.5,850,707.5,102.5,45,34,1142.3151794087,34,12435,8380,20810,34,9272.5,1185,1002.5,807.5,2160,1040,125,15592.5,0.323296748889255
"35",35,"North Perth MU",3285,1735,2185,1885,1555,1975,2790,15410,35,47600,3966.66666666667,35,747.5,1102.5,397.5,397.5,335,35,950,957.5,212.5,30,747.5,80,35,2552.5,27.5,395,277.5,85,37.5,35,1205.81925643102,35,2225,1640,3870,35,2092.5,132.5,155,55,477.5,0,67.5,2977.5,0.303988047839753
"36",36,"Orillia",4645,3300,4415,3620,3570,4930,7795,32270,37,45600,3800,36,2392.5,2605,1032.5,725,452.5,36,1425,1945,927.5,167.5,2392.5,357.5,36,6352.5,25,835,715,85,35,36,1303.89866508695,36,4930,3895,8825,36,4015,157.5,627.5,470,1380,460,97.5,7210,0.343131227654461
